Diamond,Price,Carat,Color,Clarity,Cut
1,6003,1.82,H,I1,Fair
2,3987,0.91,G,SI2,Ideal
3,2456,0.74,H,VS2,Good
4,15718,1.12,E,VVS1,Ideal
5,2526,0.7,D,SI1,Good
6,4051,0.9,G,SI1,Ideal
7,8458,1,G,VVS2,Ideal
8,446,0.34,E,SI2,Good
9,5222,1,F,SI1,Premium
10,4325,0.9,G,SI1,Ideal
11,11760,1.38,F,VS1,Very Good
12,1776,0.58,E,VS2,Ideal
13,803,0.34,H,VVS1,Good
14,506,0.35,H,SI1,Very Good
15,2065,0.7,I,VS2,Fair
16,1819,0.57,D,VS2,Very Good
17,8983,1.03,E,VS1,Premium
18,6577,1.21,I,VS1,Ideal
19,4730,1.1,D,SI2,Fair
20,1264,1.03,E,I1,Fair
21,1273,0.53,H,SI1,Ideal
22,4841,0.9,H,VS1,Ideal
23,505,0.31,H,VS2,Very Good
24,2052,0.5,G,VVS1,Ideal
25,951,0.4,H,VVS2,Ideal
26,5052,0.92,D,SI2,Ideal
27,2600,0.7,F,SI1,Ideal
28,740,0.3,D,VS2,Premium
29,542,0.32,H,VS1,Premium
30,11185,1.29,F,VS1,Premium
31,1005,0.43,I,VVS2,Ideal
32,866,0.32,F,VS2,Premium
33,978,0.31,E,VS1,Premium
34,2377,1.2,I,I1,Fair
35,2330,0.71,I,SI1,Ideal
36,807,0.32,F,VVS2,Ideal
37,942,0.3,D,VS2,Premium
38,1489,0.58,D,SI2,Ideal
39,1653,0.51,F,VS2,Premium
40,8492,1.02,D,VS1,Premium
41,458,0.27,G,VS2,Very Good
42,1699,0.53,F,VS2,Very Good
43,11862,1.5,E,SI1,Fair
44,1144,0.3,D,VVS2,Ideal
45,989,0.31,D,VS2,Ideal
46,5338,1,H,VS2,Very Good
47,11706,1.32,F,VS1,Premium
48,449,0.34,F,SI2,Very Good
49,1182,0.37,E,VVS2,Ideal
50,12224,2.1,J,SI2,Very Good
51,3757,0.91,E,SI2,Premium
52,1909,0.57,E,VS2,Ideal
53,734,0.35,F,VS2,Ideal
54,5912,1,G,VS2,Very Good
55,699,0.32,H,VVS1,Very Good
56,1780,0.5,F,VS1,Ideal
57,874,0.35,G,VS1,Premium
58,18100,2.16,E,SI2,Ideal
59,19391,1.51,E,VS1,Ideal
60,950,0.31,F,VVS1,Ideal
61,2740,0.71,G,SI1,Ideal
62,3438,0.91,J,VS2,Very Good
63,872,0.3,F,VS1,Ideal
64,3587,1,J,VS2,Good
65,4168,1,F,SI2,Premium
66,488,0.3,I,VS1,Premium
67,530,0.32,I,VS1,Premium
68,1770,0.7,D,SI2,Fair
69,4527,0.9,D,SI1,Very Good
70,579,0.3,I,VVS2,Ideal
71,2785,0.78,F,SI1,Premium
72,632,0.3,G,VS1,Good
73,4726,1,D,SI2,Very Good
74,13188,2.01,J,SI2,Premium
75,2398,0.8,J,VS1,Very Good
76,1417,0.54,E,SI2,Very Good
77,824,0.3,E,VVS2,Premium
78,726,0.41,E,SI1,Very Good
79,19140,1.7,F,VS1,Premium
80,955,0.4,E,VS2,Ideal
81,3617,0.89,H,VS1,Premium
